id,text,rarity,price,category,pool,icon_path,effect,value,requires_weapon,requires_ability,enabled,unlock_weapon,unlock_ability
max_hp_plus_1,+10 Max HP,common,150,generic,shop,res://assets/Separated/singleheart.png,,,,,TRUE,,
hp_refill,Refill HP,common,50,generic,shop,res://assets/Separated/singleheart.png,,,,,TRUE,,
 unlock_shotgun,Unlock Shotgun,uncommon,300,generic,shop,,,,none,,TRUE,shotgun,
unlock_sniper,Unlock Sniper,uncommon,300,generic,shop,,,,none,,TRUE,sniper,
unlock_turret,Unlock Turret,uncommon,300,generic,shop,,,,none,,TRUE,turret,
unlock_flamethrower,Unlock Flamethrower,uncommon,300,generic,shop,,,,none,,TRUE,flamethrower,
unlock_grenades,Unlock Grenades,uncommon,300,generic,shop,,,,none,,TRUE,grenades,
unlock_shuriken,Unlock Shuriken,uncommon,300,generic,shop,,,,none,,TRUE,shuriken,
unlock_dash,Unlock Dash (SPACE),uncommon,300,generic,shop,,,,,none,TRUE,,dash
unlock_bubble,Unlock Shield (SPACE),uncommon,300,generic,shop,,,,,none,TRUE,,bubble
unlock_invis,Unlock Invisibility (SPACE),uncommon,300,generic,shop,,,,,none,TRUE,,invis
unlock_slowmo,Unlock Bullet-Time (SPACE),uncommon,300,generic,shop,,,,,none,TRUE,,slowmo
chaos_half_hp_double_damage,Chaos Pact: Double Damage,chaos,0,chaos,chaos,res://assets/Separated/ammo.png,chaos_challenge,,,,TRUE,,
chaos_no_primary_fire_triple_rate,Chaos Pact: Trigger Happy,chaos,0,chaos,chaos,res://assets/Separated/ammo.png,chaos_challenge,,,,TRUE,,
primary_damage_t1,Primary Damage +5%,common,50,primary,shop,res://assets/icons/primary_damage.png,primary_damage,0.05,,,TRUE,,
primary_damage_t2,Primary Damage +10%,uncommon,125,primary,shop,res://assets/icons/primary_damage.png,primary_damage,0.10,,,TRUE,,
primary_damage_t3,Primary Damage +20%,rare,200,primary,shop,res://assets/icons/primary_damage.png,primary_damage,0.20,,,TRUE,,
primary_damage_t4,Primary Damage +35%,epic,300,primary,shop,res://assets/icons/primary_damage.png,primary_damage,0.35,,,TRUE,,
primary_fire_rate_t1,Primary Fire Rate +5%,common,50,primary,shop,res://assets/icons/primary_fire_rate.png,primary_fire_rate,0.05,,,TRUE,,
primary_fire_rate_t2,Primary Fire Rate +10%,uncommon,125,primary,shop,res://assets/icons/primary_fire_rate.png,primary_fire_rate,0.10,,,TRUE,,
